Título,Ubicación,Marca,Modelo,Año,Versión,Color,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Kilómetros,Piloto automático,Aire acondicionado,Dirección,Control de tracción,Capacidad de personas,Capacidad del tanque,Potencia,Largo,Altura,Ancho,Distancia entre ejes,Precio
Audi A3 Sportback 1.4 Tsi Mt,Bs.As. G.B.A. Sur,Audi,A3 Sportback,2011,1.4 Tsi Mt,,Nafta,5,Manual,1.4,Hatchback,145000,No,Sí,Asistida,Delantera,5,55 L,125,4292,1423,1874,2912 mm,11000
Mercedes-Benz Clase A 2.0 A250 Amg-line 211cv 224 hp,Bs.As. G.B.A. Norte,,Clase A,2019,2.0 A250 Amg-line 211cv 224 hp,Plateado,Nafta,5,Automática,2.0,Hatchback,37950,Sí,Sí,Asistida,Delantera,5,56 L,224,4292,1430,1720,2425 mm,52800
Volkswagen Bora 1.8 Highline T Tiptronic Cuero,Bs.As. G.B.A. Sur,Volkswagen,Bora,2012,1.8 Highline T Tiptronic Cuero,Negro,Nafta,4,Automática,1.8,Sedán,176000,Sí,Sí,Hidráulica,Delantera,5,55 L,180,4376,1446,1735,2513 mm,10500
Volkswagen Fox 1.6 Comfortline,Capital Federal,Volkswagen,Fox,2017,1.6 Comfortline,Gris,Nafta,5,Manual,1.6,Hatchback,74100,,Sí,Eléctrica,Delantera,5,50 L,101,3823,1552,1660,2467 mm,14900000
Fiat Strada 1.4 8v Freedom Cd,Capital Federal,Fiat,Strada,2023,1.4 8v Freedom Cd,Blanco,Nafta,3,Manual,1.4,Pick-Up,10000,,Sí,Hidráulica,Delantera,5,55 L,85,4474,1554,1950,2737 mm,24500000
Toyota Hilux 2.8 Cd Srx 177cv 4x4 At,Bs.As. G.B.A. Norte,Toyota,Hilux,2023,2.8 Cd Srx 177cv 4x4 At,,Diésel,4,Automática,2.8,Pick-Up,18000,Sí,,Hidráulica,4x4,5,80 L,177,5260,1850,1855,2860 mm,40000
Volkswagen Bora 2.0 Trendline 115cv,Bs.As. G.B.A. Oeste,Volkswagen,Bora,2010,2.0 Trendline 115cv,,Nafta,4,Manual,2.0,Sedán,135000,Sí,,Hidráulica,Delantera,5,55 L,116,4376,1446,1735,2518 mm,8500
Volkswagen Gol Trend 1.6 Pack I 101cv,Bs.As. G.B.A. Sur,Volkswagen,Gol Trend,2012,1.6 Pack I 101cv,Gris,Nafta,5,Manual,1.6,Hatchback,2000,,Sí,Hidráulica,Delantera,5,55 L,101,3899,1464,1656,2466 mm,7000
Volkswagen Voyage 1.6 Trenline 101cv,Bs.As. G.B.A. Sur,Volkswagen,Voyage,2014,1.6 Trenline 101cv,Blanco,Nafta,4,Manual,1.6,Sedán,125000,,,,Delantera,5,55 L,101,4230,1464,1656,2465 mm,8200
Peugeot 408 1.6 Allure Pack Thp Tip 165cv,Capital Federal,Peugeot,408,2019,1.6 Allure Pack Thp Tip 165cv,Blanco,Nafta,4,Automática,1.6,Sedán,88000,Sí,,Eléctrica,Delantera,5,60 L,165,4690,1505,1802,2710 mm,17999900
Ford F-100 3.9D Lujo,Bs.As. G.B.A. Sur,Ford,F-100,1983,3.9D Lujo,Gris,Diésel,2,Manual,3.9,Pick-Up,111111,,,Mecánica,,,,92,,,,,15000
Fiat Cronos 1.8 PRECISION CVT,Bs.As. G.B.A. Norte,Fiat,Cronos,2021,1.8 PRECISION CVT,Otro,Nafta,4,Automático,1,Sedán,28631,No,No,Asistida,4x2,5,48 L,130,4364,1516,1724,2521 mm,18900000
Toyota Hilux 2.4 Cd Sr 150cv 4x2,Buenos Aires Interior,Toyota,Hilux,2021,2.4 Cd Sr 150cv 4x2,,Diésel,4,Manual,2.4,Pick-Up,25000,,,Hidráulica,4x2,5,80 L,150,5260,1850,1855,2860 mm,35000000
Kia Sorento 2.5 Ex Crdi 140 Hp At,Bs.As. G.B.A. Norte,Kia,Sorento,2004,2.5 Ex Crdi 140 Hp At,,Diésel,5,Automática,2.5,SUV,290000,,,,4x2,7,68 L,140,4685,1710,1885,2700 mm,8000
Chevrolet Tracker 1.8 Ltz Fwd Mt 140cv,Córdoba,Chevrolet,Tracker,2014,1.8 Ltz Fwd Mt 140cv,Gris,Nafta,5,Manual,1.8,SUV,76674,Sí,Sí,Asistida,Delantera,5,53 L,140,4248,1674,1657,2465 mm,17100000
Nissan Note 1.6 Exclusive 110cv Cvt,Bs.As. G.B.A. Oeste,Nissan,Note,2015,1.6 Exclusive 110cv Cvt,,Nafta,5,Automática,1.6,Hatchback,93500,,,Asistida,Delantera,5,41 L,110,4142,1537,1695,2600 mm,11200
Ford Focus III 2.0 Titanium At6,Bs.As. G.B.A. Oeste,Ford,Focus III,2017,2.0 Titanium At6,Blanco,Nafta,5,Automática,2.0,Hatchback,126000,Sí,,Eléctrica,Delantera,5,55 L,170,4412,1484,2070,4332 mm,19900000
Mercedes-Benz Clase C 6.3 C63 Amg Sedan 457cv,Capital Federal,,Clase C,2013,6.3 C63 Amg Sedan 457cv,Gris,Nafta,4,Automática,6.3,Sedán,48400,Sí,Sí,Asistida,Delantera,4,65 L,457,4705,1390,1770,2760 mm,61500
Renault Logan 1.6 16v Life,Entre Ríos,Renault,Logan,2023,1.6 16v Life,,Nafta,4,Manual,1.6,Sedán,5800,,,Hidráulica,Delantera,5,50 L,115,4350,1529,1733,2635 mm,19000000
Volkswagen Tiguan Allspace 1.4 Tsi Trendline 150cv Dsg,Bs.As. G.B.A. Norte,Volkswagen,Tiguan Allspace,2021,1.4 Tsi Trendline 150cv Dsg,Blanco,Nafta,5,Automática,1.4,SUV,77000,Sí,,Asistida,4x4,5,64 L,150,4427,1683,1809,2604 mm,35000000
Chevrolet S10 2.8 Cd 4x2 Ltz Tdci 180cv,Bs.As. G.B.A. Norte,Chevrolet,S10,2012,2.8 Cd 4x2 Ltz Tdci 180cv,Plateado,Diésel,4,Manual,2.8,Pick-Up,187000,Sí,Sí,Hidráulica,4x2,5,76 L,180,5347,1783,1720,2515 mm,14300
Honda Civic 2.0 Ex 2017,Córdoba,Honda,Civic,2017,2.0 Ex 2017,Negro,Nafta,3,Manual,2.0,Hatchback,102000,,,,Delantera,5,56 L,200,4637,1433,1778,2651 mm,26000000
Renault Duster 1.6 4x2 Expression 110cv,Córdoba,Renault,Duster,2012,1.6 4x2 Expression 110cv,Gris,Nafta,5,Manual,1.6,SUV,136000,No,No,Hidráulica,4x2,5,50 L,110,4315,1695,1822,2673 mm,12900000
Toyota Corolla 1.8 Xei Mt 136cv,Buenos Aires Interior,Toyota,Corolla,2013,1.8 Xei Mt 136cv,Gris,Nafta,4,Manual,1.8,Sedán,95000,No,Sí,Eléctrica,Delantera,5,57 L,136,4540,1465,1760,2600 mm,17000000
Volkswagen Voyage 1.6 Comfortline 101cv,Capital Federal,Volkswagen,Voyage,2009,1.6 Comfortline 101cv,Gris,Nafta,4,Manual,1.6,Sedán,139000,,,Hidráulica,Delantera,5,55 L,101,4230,1464,1656,2465 mm,7700000
Toyota Hilux Pick-Up 2.4 Cd Dx 150cv 4x2,Bs.As. G.B.A. Norte,Toyota,Hilux Pick-Up,2023,2.4 Cd Dx 150cv 4x2,,Diésel,4,Manual,2.4,Pick-Up,14700,,,Hidráulica,4x2,5,80 L,150,5260,1850,1855,2860 mm,34500000
Renault Koleos 2.5 4wd Cvt,Bs.As. G.B.A. Norte,Renault,Koleos,2020,2.5 4wd Cvt,Blanco,Nafta,5,Automática,2.5,SUV,64000,Sí,,Eléctrica,4x4,5,60 L,170,4673,1678,2063,2705 mm,28300
Ford Kuga 2.0 Titanium At Awd,Bs.As. G.B.A. Norte,Ford,Kuga,2016,2.0 Titanium At Awd,Negro,Nafta,5,Automática,2.0,SUV,144000,Sí,,Eléctrica,Integral,5,60 L,180,4524,1684,1727,2587 mm,18500
Ford Kuga Se 2.5 L Hibrido At,Bs.As. G.B.A. Norte,Ford,Kuga,2020,Se 2.5 L Hibrido At,Gris,Híbrido,5,Automática secuencial,2.5,SUV,82000,,,,,,,,,,,,34000
Peugeot Partner 1.4 Furgon Confort,Capital Federal,Peugeot,Partner,2013,1.4 Furgon Confort,Blanco,Nafta,3,Manual,1.4,Furgón,183000,,,Hidráulica,Delantera,2,55 L,75,4137,1800,1720,2728 mm,11500000
Honda Civic 1.8 Lxs Mt,Buenos Aires Interior,Honda,Civic,2010,1.8 Lxs Mt,,Nafta,4,Manual,1.8,Sedán,197000,,,Hidráulica,Delantera,5,50 L,140,4489,1453,1781,2578 mm,7500
Renault Sandero Stepway 1.6 Confort 105cv,Río Negro,Renault,Sandero Stepway,2009,1.6 Confort 105cv,Gris,Nafta,5,Manual,1.6,Hatchback,91000,,,Hidráulica,Delantera,5,50 L,105,4091,1630,1751,2588 mm,14000000
Peugeot 308 1.6 Active,Córdoba,Peugeot,308,2012,1.6 Active,Gris,Nafta,5,Manual,1.6,Hatchback,135000,,,Hidráulica,Delantera,5,60 L,115,4276,1519,1815,2608 mm,13500000
Ford Escort 1.8 Xr3,Bs.As. G.B.A. Sur,Ford,Escort,1991,1.8 Xr3,Blanco,Nafta,2,Manual,1.8,Cabriolet,109000,No,,Hidráulica,Delantera,5,64 L,115,4136,1346,1700,2523 mm,8500
BMW Serie 3 2.0 320i Sedan At,Bs.As. G.B.A. Oeste,BMW,Serie 3,2013,2.0 320i Sedan At,Gris,Nafta,4,Manual,2.0,Sedán,159000,Sí,Sí,,Trasera,5,60 L,184,4624,1429,1665,2718 mm,20900
Audi A4 3.2 Fsi Quattro,Bs.As. G.B.A. Sur,Audi,A4,2007,3.2 Fsi Quattro,,Nafta,4,Manual,3.2,Sedán,120000,,Sí,Eléctrica,Integral,5,70 L,265,4586,1427,1772,2642 mm,9900
Corsa Classic 2009 1.4 Nafta,Bs.As. G.B.A. Norte,Chevrolet,Corsa Classic,2009,1.4,Plateado,Nafta,5,Manual,1.4,Sedán,160000,,,Hidráulica,,,,,,,,,6700000
Volkswagen Saveiro 1.6 I Comercial 601,Chaco,Volkswagen,Saveiro,2008,1.6 I Comercial 601,,Nafta,2,Manual,1.6,Pick-Up,235000,,,Mecánica,Delantera,3,53 L,92,4451,1480,1651,2598 mm,7100000
Chevrolet Onix 1.4 Activ 98cv,Bs.As. G.B.A. Sur,Chevrolet,Onix,2017,1.4 Activ 98cv,Negro,Nafta,5,Manual,1.4,Hatchback,93300,,Sí,Asistida,Delantera,5,54 L,98,3930,1484,1656,2465 mm,12700
Volkswagen Up! 1.0 Move Up! 75cv,Bs.As. G.B.A. Oeste,Volkswagen,,2017,,,Nafta,3,Manual,1.0,Hatchback,37500,,,Eléctrica,Delantera,5,50 L,75,3605,1500,1645,2421 mm,11000
RAM 1500 5.7 Laramie Atx V8,Córdoba,RAM,1500,2014,5.7 Laramie Atx V8,Negro,Nafta,4,Automática,5.7,Pick-Up,192000,Sí,,Hidráulica,4x4,5,98 L,395,5817,1941,2017,3797 mm,33000
Fiat Toro 2.0 Freedom 4x4 At,Córdoba,Fiat,Toro,2018,2.0 Freedom 4x4 At,,Diésel,4,Automática,2.0,Pick-Up,94000,,,,4x4,5,60 L,170,4915,1690,1669,2443 mm,22900
Chevrolet Sonic 1.6 Lt,Capital Federal,Chevrolet,Sonic,2013,1.6 Lt,Blanco,Nafta,4,Manual,1.6,Sedán,144000,Sí,Sí,Hidráulica,Delantera,5,46 L,115,4039,1517,1820,2709 mm,10890000
Jeep Compass 2.4 Sport Automática,Córdoba,Jeep,Compass,2021,2.4 Sport Automática,,Nafta,5,Automática,2.4,SUV,35000,,,,4x2,5,52 L,174,4394,1635,2033,2636 mm,30000000
Renault Clio 1.6 Sport,Bs.As. G.B.A. Sur,Renault,Clio,2001,1.6 Sport,,Nafta,3,Manual,1.6,Hatchback,160000,,,,Delantera,5,50 L,100,3182,1417,1639,2472 mm,6000
Renault Duster 2.0 Ph2 4x4 Privilege 143cv,Bs.As. G.B.A. Norte,Renault,Duster,2018,2.0 Ph2 4x4 Privilege 143cv,,Nafta,5,Manual,2.0,SUV,84900,,,,4x4,5,50 L,143,4329,1683,1822,2674 mm,16500
Citroën Berlingo Furgon 1.6 Hdi 92cv Pack Seguridad,Bs.As. G.B.A. Oeste,,Berlingo Furgon,2011,1.6 Hdi 92cv Pack Seguridad,Blanco,Diésel,3,Manual,1.6,Furgón,160000,,Sí,Hidráulica,Delantera,2,60 L,92,4137,1858,1668,2443 mm,8450
Suzuki Grand Vitara 2.0 Mt,Bs.As. G.B.A. Norte,Suzuki,Grand Vitara,2007,2.0 Mt,Azul,Nafta,5,Manual,2.0,SUV,244000,,,Hidráulica,4x4,7,66 L,128,4760,1740,1810,2640 mm,10700
Audi Q5 2.0 Tfsi 225cv Quattro,Capital Federal,Audi,Q5,2014,2.0 Tfsi 225cv Quattro,Negro,Nafta,5,Manual,2.0,SUV,110000,Sí,Sí,Asistida,Integral,5,75 L,225,4629,1653,1715,2464 mm,25000000
Ford Ecosport 1.6 Freestyle 110cv 4x2,Bs.As. G.B.A. Sur,Ford,Ecosport,2014,1.6 Freestyle 110cv 4x2,Plateado,Nafta,5,Manual,1.6,SUV,98000,,Sí,Eléctrica,4x2,5,52 L,110,4241,1693,1762,2612 mm,15500000
Toyota Hilux 2.8 Cd Srx 177cv 4x4 At,Bs.As. G.B.A. Norte,Toyota,Hilux,2016,2.8 Cd Srx 177cv 4x4 At,Blanco,Diésel,4,Automática,2.8,Pick-Up,190000,Sí,,Hidráulica,4x4,5,80 L,177,5260,1850,1855,2860 mm,27000
Toyota Hiace 2.8 Tdi Furgón 6at L1h1 3a 4p,Bs.As. Costa Atlántica,Toyota,Hiace,2022,2.8 Tdi Furgón 6at L1h1 3a 4p,Blanco,Diésel,4,Automática,2.8,Furgón,8000,Sí,,Asistida,Delantera,3,80 L,177,5260,1860,1835,3085 mm,36000
Renault Sandero 1.6 Luxe 105cv,Bs.As. G.B.A. Sur,Renault,Sandero,2011,1.6 Luxe 105cv,blue,Nafta,5,Manual,1.6,Hatchback,102000,No,No,Hidráulica,Delantera,5,,,,,,,9500000
Volkswagen Taos 1.4 250 Tsi Highline,Bs.As. G.B.A. Sur,Volkswagen,Taos,2022,1.4 250 Tsi Highline,Azul,Nafta,5,Automática,1.4,SUV,75000,Sí,Sí,Eléctrica,4x2,5,50 L,150,4468,1624,1841,2651 mm,27900
Volkswagen Up! 1.0 High Up!,Bs.As. G.B.A. Sur,Volkswagen,,2018,,,Nafta,3,Manual,1.0,Hatchback,95000,,,Hidráulica,Delantera,5,50 L,75,3605,1500,1645,2421 mm,10800
Peugeot 308 1.6 Feline Thp 163cv Tiptronic,Capital Federal,Peugeot,308,2016,1.6 Feline Thp 163cv Tiptronic,Negro,Nafta,5,Automática,1.6,Hatchback,90000,Sí,,Hidráulica,Delantera,5,60 L,163,4292,1518,1800,2608 mm,12400
Mercedes-Benz Clase C 1.8 C200 City Edition B.efficiency,Bs.As. G.B.A. Norte,,Clase C,2013,1.8 C200 City Edition B.efficiency,Gris,Nafta,4,Manual,1.8,Sedán,110000,Sí,Sí,Asistida,Delantera,5,66 L,184,4581,1445,1770,2760 mm,16500
Ford Ecosport 1.6 S 110cv 4x2,Bs.As. G.B.A. Norte,Ford,Ecosport,2015,1.6 S 110cv 4x2,Rojo,Nafta,5,Manual,1.6,SUV,184000,Sí,Sí,Eléctrica,4x2,5,52 L,110,4241,1693,1757,2607 mm,14700000
Toyota Hilux 2.8 Cd Srx 177cv 4x4 At,Córdoba,Toyota,Hilux,2019,2.8 Cd Srx 177cv 4x4 At,Gris,Diésel,4,Automática,2.8,Pick-Up,151000,Sí,,Hidráulica,4x4,5,80 L,177,5260,1850,1855,2860 mm,33000
Volkswagen Gol Trend 1.6 Trendline 101cv,Bs.As. Costa Atlántica,Volkswagen,Gol Trend,2017,1.6 Trendline 101cv,,Nafta,5,Manual,1.6,Hatchback,61000,,,,Delantera,5,55 L,101,3899,1464,1656,2466 mm,12000
Ford Ka 1.5 S,Buenos Aires Interior,Ford,Ka,2016,1.5 S,Negro,Nafta,5,Manual,1.5,Hatchback,92000,No,Sí,Eléctrica,Delantera,5,51 L,120,3969,1464,1777,2686 mm,9500
Chevrolet Cruze Ltz Mt 5 Ptas 2013,Santa Fe,Chevrolet,Cruze 5,2013,L T Z mt 5 puertas,Negro,Nafta,5,Manual,1.8,Hatchback,115000,,,Asistida,,,,,,,,,14800000
Volkswagen Gol 1.4 Power 83cv 3 p,Capital Federal,Volkswagen,Gol,2013,1.4 Power 83cv 3 p,,Nafta,3,Manual,1.4,Hatchback,119000,,,,Delantera,5,51 L,83,3951,1414,1656,2465 mm,6000
Peugeot Partner Patagónica 1.6 Vtc Plus 115,Bs.As. G.B.A. Sur,Peugeot,Partner Patagónica,2017,1.6 Vtc Plus 115,,Nafta,4,Manual,1.6,Monovolumen,89000,,Sí,Hidráulica,Delantera,5,55 L,115,4137,1838,1960,2693 mm,12500000
Peugeot 307 1.6 Xt Premium 110cv,Bs.As. G.B.A. Oeste,Peugeot,307,2010,1.6 Xt Premium 110cv,Negro,Nafta,5,Manual,1.6,Hatchback,110000,,,Hidráulica,Delantera,5,60 L,110,4211,1509,1762,2608 mm,6500
Volkswagen Polo 1.6 Comfortline,Buenos Aires Interior,Volkswagen,Polo,2019,1.6 Comfortline,Plateado,Nafta,4,Manual,1.6,Sedán,46000,,,Hidráulica,Delantera,5,50 L,110,4384,1465,1699,2552 mm,22990000
Toyota Corolla 1.8 Xli Mt 136cv,Bs.As. G.B.A. Oeste,Toyota,Corolla,2013,1.8 Xli Mt 136cv,,Nafta,4,Manual,1.8,Sedán,134000,,,Eléctrica,Delantera,5,57 L,136,4540,1465,1760,2600 mm,9000
Peugeot 207 1.6 Feline 106cv,Buenos Aires Interior,Peugeot,207,2013,1.6 Feline 106cv,Gris,Nafta,5,Manual,1.6,Hatchback,150000,,Sí,Hidráulica,Delantera,5,50 L,106,3872,1441,1669,2443 mm,11500000
Toyota Corolla SEG 1.8 CVT,Bs.As. Costa Atlántica,Toyota,Corolla,2019,SEG 1.8 CVT,,Nafta,4,Automática,1.8,Sedán,60000,Sí,,Eléctrica,Delantera,5,57 L,140,4620,1460,1775,2700 mm,22500
Fiat Fiorino 1.4 Fire Evo 87cv,Córdoba,Fiat,Fiorino,2019,1.4 Fire Evo 87cv,,Nafta,3,Manual,1.4,Furgón,63000,,Sí,Hidráulica,Delantera,2,64 L,87,4184,1873,1780,2699 mm,14000
Toyota Yaris 1.5 107cv S,Capital Federal,Toyota,Yaris,2024,1.5 107cv S,Blanco,Nafta,5,Manual,1.5,Hatchback,3500,,,Eléctrica,Delantera,5,42 L,107,3945,1510,1695,2550 mm,23500
Renault Kwid 1.0 12V LIFE L17,Bs.As. G.B.A. Norte,Renault,Kwid,2018,1.0 12V LIFE L17,Blanco,Nafta,5,Manual,,Hatchback,85000,,Sí,Asistida,Delantera,5,41 L,,,,,,13100000
Renault Duster 2.0 4x2 Luxe Nav 138cv,Bs.As. G.B.A. Sur,Renault,Duster,2013,2.0 4x2 Luxe Nav 138cv,Verde,Nafta,5,Manual,2.0,SUV,185000,,,Hidráulica,4x2,5,50 L,138,4315,1695,1822,2673 mm,7500000
Chevrolet Onix 1.4 Activ 98cv,Córdoba,Chevrolet,Onix,2019,1.4 Activ 98cv,Plateado,Nafta,5,Manual,1.4,Hatchback,86000,No,Sí,,Delantera,5,54 L,98,3930,1484,1656,2465 mm,16000000
Mercedes-Benz Sprinter 2.1 411 Street 116cv 3250 V2 Tn,Capital Federal,,Sprinter,2013,2.1 411 Street 116cv 3250 V2 Tn,Blanco,Diésel,2,Manual,2.1,Furgón,170000,,Sí,Hidráulica,Delantera,5,75 L,116,5245,2430,1994,3025 mm,17000
Renault Kangoo Ii Express Confort 1.6 Sce,Bs.As. G.B.A. Norte,Renault,Kangoo,2023,Ii Express Confort 1.6 Sce,Plateado,Nafta,3,Manual,1.6,Furgón,26000,,Sí,Hidráulica,Delantera,2,52 L,114,4010,1860,1672,2600 mm,22500000
Chevrolet Onix 1.4 Lt 98cv,Bs.As. G.B.A. Oeste,Chevrolet,Onix,2017,1.4 Lt 98cv,Rojo,Nafta,5,Manual,1.4,Hatchback,104000,No,Sí,Asistida,Delantera,5,54 L,98,3930,1484,1656,2465 mm,11900000
Volkswagen Amarok 3.0 V6 Cd Highline,Bs.As. G.B.A. Norte,Volkswagen,Amarok,2023,3.0 V6 Cd Highline,Plateado,Diésel,4,Automática,3.0,Pick-Up,25000,Sí,Sí,,4x4,5,80 L,224,5254,1834,1944,3095 mm,42000
Fiat 500 1.4 Cult 85cv,Bs.As. G.B.A. Norte,Fiat,500,2015,1.4 Cult 85cv,Negro,Nafta,3,Manual,1.4,Hatchback,68000,No,Sí,Asistida,Delantera,4,40 L,85,3546,1492,1800,2570 mm,12000
Jeep Renegade 1.8 SPORT L18 MT 4x2,Capital Federal,Jeep,Renegade,2019,1.8 SPORT L18 MT 4x2,Negro,Nafta,4,Manual,1,SUV,88826,No,No,Asistida,4x2,5,60 L,217,4624,1670,1798,2570 mm,18480000
Ford Ka 1.5 S,Capital Federal,Ford,Ka,2017,1.5 S,,Nafta,5,Manual,1.5,Hatchback,76000,,,Eléctrica,Delantera,5,51 L,105,3969,1464,1777,2686 mm,13500000
Peugeot 3008 1.6 Feline Thp 163cv,Bs.As. G.B.A. Sur,Peugeot,3008,2017,1.6 Feline Thp 163cv,Dorado,Nafta,5,Automática,1.6,Monovolumen,77300,Sí,,Eléctrica,Delantera,5,53 L,163,4365,1639,1837,2675 mm,17500000
Citroën C3 1.6 I Sx,Córdoba,,C3,2010,1.6 I Sx,,Nafta,5,Manual,1.6,Hatchback,180000,,Sí,Eléctrica,Delantera,5,47 L,106,3850,1533,1645,2528 mm,7900000
Volkswagen Amarok 2.0 Cd Tdi 180cv Comfortline,Bs.As. G.B.A. Sur,Volkswagen,Amarok,2022,2.0 Cd Tdi 180cv Comfortline,,Diésel,4,Manual,2.0,Pick-Up,50000,Sí,,Hidráulica,4x2,5,80 L,180,5254,1834,1944,3095 mm,28000
Ford Ranger 3.0 Cd 4X4 Xls At 250Cv,Bs.As. G.B.A. Sur,Ford,Ranger,2023,3.0 Cd 4X4 Xls At 250Cv,Gris,Diésel,4,Automática,3.0,Pick-Up,10000,,,,,,,250,,,,,40500
Chevrolet Sonic 1.6 Ltz Mt,Capital Federal,Chevrolet,Sonic,2014,1.6 Ltz Mt,,Nafta,5,Manual,1.6,Hatchback,135388,Sí,Sí,Hidráulica,Delantera,5,46 L,115,4039,1517,1640,2444 mm,10500000
Nissan Frontier 2.3 X-Gear + Cd 4X4 At,Bs.As. G.B.A. Norte,Nissan,Frontier,2023,,Verde,Diésel,4,Automática,2.3,,25000,,,,,,,,,,,,31000
Citroën Xsara Picasso 2.0 Fase2 I Exclusiv 138cv,Bs.As. G.B.A. Oeste,,Xsara Picasso,2011,2.0 Fase2 I Exclusiv 138cv,Celeste,Nafta,5,Manual,2.0,Monovolumen,114000,,Sí,Hidráulica,Delantera,5,55 L,138,4276,1660,1877,2909 mm,9300
Audi A3 Sportback 2.0 I Stronic 140cv,Capital Federal,Audi,A3 Sportback,2012,2.0 I Stronic 140cv,Negro,Diésel,5,Automática,2.0,Hatchback,148000,No,Sí,Asistida,Delantera,5,55 L,140,4292,1423,1855,2843 mm,13500
Toyota Corolla 1.8 Hev Seg Ecvt,Bs.As. G.B.A. Norte,Toyota,Corolla,2023,1.8 Hev Seg Ecvt,Blanco,Híbrido/Nafta,4,Automática,1.8,Sedán,4000,Sí,,Eléctrica,Delantera,5,57 L,98,4630,1435,1780,2700 mm,29900
Toyota Hilux 2.8 SRX 4X4 A/T,Bs.As. G.B.A. Sur,Toyota,Hilux,2022,,Gris,Diésel,4,Automática,,Pick-Up,82000,Sí,,Hidráulica,4x4,5,80 L,177,5260,1850,1855,2860 mm,50500000
Chevrolet Agile 1.4 Ls Spirit,Bs.As. G.B.A. Sur,Chevrolet,Agile,2012,1.4 Ls Spirit,,Nafta,5,Manual,1.4,Hatchback,157000,Sí,Sí,Hidráulica,Delantera,5,54 L,92,3996,1474,1760,3085 mm,7800
Nissan Versa 1.6 Sense Mt,Bs.As. G.B.A. Sur,Nissan,Versa,2021,1.6 Sense Mt,Blanco,Nafta,4,Manual,1.6,Sedán,51000,Sí,,Eléctrica,Delantera,5,41 L,107,4465,1514,1695,2600 mm,18400000
Toyota Yaris 1.5 107cv Xls Pack 5 p,Misiones,Toyota,Yaris,2019,1.5 107cv Xls Pack 5 p,,Nafta,5,Automática,1.5,Hatchback,70000,,,,Delantera,5,42 L,107,3945,1510,1695,2550 mm,20900000
